,accrual,amihud,asset_turn,bp,cfp,ep_ttm,fcfp,gross_margin,holder_chg,ivol_60d,large_net_inflow,leverage,margin_ratio,max_ret,mom_12_1,mom_6_1,np_yoy,q_roe,ret_1m,rev_yoy,roa,roe,roe_delta,short_ratio,sp_ttm,turn_20d,vol_60d
large_net_inflow,-0.0055672137417999345,0.0519671352474227,0.04405325355946773,-0.17379448492077185,-0.02798272006137607,-0.050440104815347026,0.014529186687552764,0.056098377387688844,0.07760267258922834,0.11737541748876383,1.0,-0.03196515691200285,-0.22751045988568397,0.16654082258308023,0.19188374304164865,0.16178697524704272,0.1066559810349628,0.13497770061912379,0.4183619094607467,0.09483567566297232,0.09679071678222317,0.09924343342682924,0.09907806146385018,-0.02245540959336285,-0.09237314149777226,0.09962581339942626,0.0815248772844148
leverage,-0.13360771348738235,-0.0022042476213130066,0.19265059559015668,0.13336316005136217,0.15060501453937356,-0.008410446712741838,-0.07887972580299692,-0.4223817128390488,0.010697144679280516,0.02837078444029909,-0.03196515691200285,1.0,0.05989869795043587,0.01692824974612106,-0.053198046084887325,-0.02556567799892313,0.020627005156385513,-0.13204902284068812,-0.020713376543510055,0.05279380092356319,-0.3530958254542487,-0.1537000451407742,0.04259817800263613,-0.00748421356146572,0.5717107488184272,0.02396410086673176,0.0315387937087409
margin_ratio,-0.0468276192238129,-0.19874074719735643,-0.10433047866371843,0.16129189433631202,-0.008466322828346485,-0.11793977213896249,-0.011251410606043118,-0.1148567447813886,-0.07428627386399982,-0.01643399042238324,-0.22751045988568397,0.05989869795043587,1.0,-0.013935458495607836,-0.28603438366606515,-0.22026155728805424,-0.09126703135742115,-0.2592386846089606,-0.13932621123234,-0.10236741988412877,-0.23328856406479817,-0.25968909002682045,-0.07432356809910345,0.24831724828694396,0.07966500982931618,0.1588235097525671,0.08204764898075054
max_ret,-0.011862495099768278,-0.08503844544921751,0.012960360788883721,-0.23155132199388895,-0.08813573451414297,-0.15869209511308557,-0.02214085466340964,0.03526101614940483,-0.021883238039049194,0.5809057966025355,0.16654082258308023,0.01692824974612106,-0.013935458495607836,1.0,0.14047416678543578,0.13568837123974112,0.05892501179768542,0.046341852823566114,0.4118697243073773,0.04560696280206955,0.028590517386375705,0.02759803581417847,0.044904554998927156,0.14804276438527228,-0.11440438924752337,0.5504600311503014,0.5832572631668026
mom_12_1,0.017961880523328616,-0.0628538565389144,0.11817709871784358,-0.2794640105355072,-0.03424009395625517,-0.0036148424143016725,0.054609339265619436,0.10397947496125859,0.05193955245500894,0.3145811290771954,0.19188374304164865,-0.053198046084887325,-0.28603438366606515,0.14047416678543578,1.0,0.6368946374625556,0.3191549708330003,0.2630828100966273,-0.011619409664988782,0.2070048207464751,0.24673368783475208,0.2584174089208818,0.33988931894383545,-0.005761804849243949,-0.13685974025581493,0.22618150552485633,0.277991976605986
mom_6_1,-0.008713414714290803,-0.06090458499420106,0.08938955473137158,-0.19263954740481928,-0.021462038303891047,-0.023157178877530344,0.042228153502374716,0.0631418749655394,0.12457337984302189,0.3419690052205045,0.16178697524704272,-0.02556567799892313,-0.22026155728805424,0.13568837123974112,0.6368946374625556,1.0,0.2065707529758929,0.1982470502445383,-0.020376946208309023,0.12189961214947893,0.1611108076453342,0.17467643992650272,0.21570693737373717,0.014166178179938576,-0.08493913261833638,0.2131212030127908,0.2943768887854771
np_yoy,0.049095938620986004,-0.10997251258821732,0.14449170177108434,-0.14537803896430088,0.04651786953157533,0.19581880622092473,0.034864021644057455,0.10919653968111039,-0.030296035948827755,0.08215898880263092,0.1066559810349628,0.020627005156385513,-0.09126703135742115,0.05892501179768542,0.3191549708330003,0.2065707529758929,1.0,0.4093046361676561,0.07137323063436471,0.43493705631584106,0.3573473927932421,0.4163145239973211,0.8045602933365567,-0.019133401206107802,-0.020072503638771912,0.1386160989551091,0.0781763658007177
q_roe,0.13961340427717664,-0.06064649085134571,0.311809653113656,-0.3338938642619715,0.058753415088259806,0.41743374305303155,0.10162987584364225,0.30773653192764994,0.013633784453857843,0.059649459450387986,0.13497770061912379,-0.13204902284068812,-0.2592386846089606,0.046341852823566114,0.2630828100966273,0.1982470502445383,0.4093046361676561,1.0,0.09501284801230073,0.25706671337412657,0.8023586799332625,0.8848710371099213,0.33111269743268623,-0.09575489202815962,-0.1215874713970295,0.0790069749678709,0.0270792909124742
ret_1m,-0.006622565282201759,0.044436870648585425,0.04449273965179622,-0.09418313924591666,-0.010422639902281938,-0.017312487414179088,0.010388583765312192,0.02517789456117139,0.06619723790554363,0.06754072098909161,0.4183619094607467,-0.020713376543510055,-0.13932621123234,0.4118697243073773,-0.011619409664988782,-0.020376946208309023,0.07137323063436471,0.09501284801230073,1.0,0.03529632826225269,0.07230516533364331,0.07462988583559323,0.06441068431685956,0.03340886755154004,-0.042843698613800545,0.14937744435062578,0.029587311959973134
rev_yoy,0.11275502391446587,-0.034309349144988815,0.20302172268800447,-0.15269531541089873,-0.0614422772382233,0.083423827054379,-0.0641807479849395,0.027442962811794605,-0.009215193864313262,0.08128604979171787,0.09483567566297232,0.05279380092356319,-0.10236741988412877,0.04560696280206955,0.2070048207464751,0.12189961214947893,0.43493705631584106,0.25706671337412657,0.03529632826225269,1.0,0.2202962650251063,0.24769168944600337,0.3732851640396502,-0.017056043177752722,-0.0060130236648732625,0.06771577409293791,0.06231929248282349
roa,0.17627790220287545,-0.058267242258778024,0.2819474729491553,-0.35445028134015305,0.027680986739834934,0.4036128427456971,0.134793496183092,0.4386460930555004,-0.02107160543885906,0.04259790032381177,0.09679071678222317,-0.3530958254542487,-0.23328856406479817,0.028590517386375705,0.24673368783475208,0.1611108076453342,0.3573473927932421,0.8023586799332625,0.07230516533364331,0.2202962650251063,1.0,0.909357689404866,0.2712455239586965,-0.0807723026630596,-0.2644618550052465,0.0634654027699728,0.017985452669923928
roe,0.1675139803752092,-0.07691925453885258,0.35203036637512236,-0.34581789370831667,0.06002701296638064,0.47732115934377894,0.10779201570224081,0.34504338170973664,-0.014468132438448057,0.03805462936850155,0.09924343342682924,-0.1537000451407742,-0.25968909002682045,0.02759803581417847,0.2584174089208818,0.17467643992650272,0.4163145239973211,0.8848710371099213,0.07462988583559323,0.24769168944600337,0.909357689404866,1.0,0.33222269782168323,-0.10391007386612797,-0.12824119936927872,0.0741647555555634,0.010417159212264956
roe_delta,-0.004189151600314589,-0.10212087222445532,0.1219458851859984,-0.0851912530529355,0.06007763234313595,0.12941679510489015,0.0773542464655778,0.06598462901836157,-0.021806775596663563,0.06890091873854369,0.09907806146385018,0.04259817800263613,-0.07432356809910345,0.044904554998927156,0.33988931894383545,0.21570693737373717,0.8045602933365567,0.33111269743268623,0.06441068431685956,0.3732851640396502,0.2712455239586965,0.33222269782168323,1.0,-0.015563766533855054,0.021540987338289345,0.11739637846629399,0.06598022967326717
short_ratio,-0.02008097353546237,-0.17156137456878995,-0.03668441820414773,-0.060880298006416984,-0.04897383837802774,-0.10922137380742819,0.014246336705397211,-0.005513137825078557,-0.0263718876215105,0.1946916976234915,-0.02245540959336285,-0.00748421356146572,0.24831724828694396,0.14804276438527228,-0.005761804849243949,0.014166178179938576,-0.019133401206107802,-0.09575489202815962,0.03340886755154004,-0.017056043177752722,-0.0807723026630596,-0.10391007386612797,-0.015563766533855054,1.0,-0.022987523064234953,0.2669940329540322,0.21426948419189992
sp_ttm,-0.14667487675142127,-0.040329240106455846,0.49662498498670526,0.5360572392114149,0.33986454793817544,0.2987154148996116,0.032630180331932074,-0.565843012168205,0.00302107940218054,-0.17618062780935068,-0.09237314149777226,0.5717107488184272,0.07966500982931618,-0.11440438924752337,-0.13685974025581493,-0.08493913261833638,-0.020072503638771912,-0.1215874713970295,-0.042843698613800545,-0.0060130236648732625,-0.2644618550052465,-0.12824119936927872,0.021540987338289345,-0.022987523064234953,1.0,-0.0788117122050937,-0.1640947523216237
turn_20d,-0.004874180461438297,-0.6001636509664959,0.029039031799717285,-0.21205340103377796,-0.06685914924537807,-0.08253149011285826,-0.0074052799561909344,0.029713607286745065,-0.12417205464258739,0.6432794064935772,0.09962581339942626,0.02396410086673176,0.1588235097525671,0.5504600311503014,0.22618150552485633,0.2131212030127908,0.1386160989551091,0.0790069749678709,0.14937744435062578,0.06771577409293791,0.0634654027699728,0.0741647555555634,0.11739637846629399,0.2669940329540322,-0.0788117122050937,1.0,0.6767294441471403
vol_60d,-0.012222496118194594,-0.2114677690529353,-0.005952914225570583,-0.31162802564089565,-0.1367757404406351,-0.24351750048393564,-0.03551422954313361,0.041740052000581826,-0.09130322208935526,0.933819741383784,0.0815248772844148,0.0315387937087409,0.08204764898075054,0.5832572631668026,0.277991976605986,0.2943768887854771,0.0781763658007177,0.0270792909124742,0.029587311959973134,0.06231929248282349,0.017985452669923928,0.010417159212264956,0.06598022967326717,0.21426948419189992,-0.1640947523216237,0.6767294441471403,1.0
